,id,from,at,to,open,close,min,max,volume
26,4159117,2025-10-15 05:18:00,2025-10-15 05:19:00,2025-10-15 05:19:00,1.125725,1.125205,1.124815,1.125725,0
27,4159118,2025-10-15 05:19:00,2025-10-15 05:20:00,2025-10-15 05:20:00,1.125245,1.125185,1.124515,1.125795,0
28,4159119,2025-10-15 05:20:00,2025-10-15 05:21:00,2025-10-15 05:21:00,1.125155,1.126005,1.125115,1.126005,0
29,4159120,2025-10-15 05:21:00,2025-10-15 05:22:00,2025-10-15 05:22:00,1.125955,1.125275,1.125205,1.126145,0
30,4159121,2025-10-15 05:22:00,2025-10-15 05:23:00,2025-10-15 05:23:00,1.125275,1.124945,1.124445,1.125395,0
31,4159122,2025-10-15 05:23:00,2025-10-15 05:24:00,2025-10-15 05:24:00,1.124945,1.123875,1.123875,1.124985,0
32,4159123,2025-10-15 05:24:00,2025-10-15 05:25:00,2025-10-15 05:25:00,1.123815,1.125095,1.123755,1.125095,0
33,4159124,2025-10-15 05:25:00,2025-10-15 05:26:00,2025-10-15 05:26:00,1.125185,1.125345,1.124785,1.125765,0
34,4159125,2025-10-15 05:26:00,2025-10-15 05:27:00,2025-10-15 05:27:00,1.125305,1.125345,1.125045,1.126665,0
35,4159126,2025-10-15 05:27:00,2025-10-15 05:28:00,2025-10-15 05:28:00,1.125365,1.125935,1.124985,1.125935,0
36,4159127,2025-10-15 05:28:00,2025-10-15 05:29:00,2025-10-15 05:29:00,1.125935,1.126155,1.125805,1.126415,0
37,4159128,2025-10-15 05:29:00,2025-10-15 05:30:00,2025-10-15 05:30:00,1.126255,1.128425,1.126255,1.128455,0
38,4159129,2025-10-15 05:30:00,2025-10-15 05:31:00,2025-10-15 05:31:00,1.128435,1.125905,1.125905,1.128745,0
39,4159130,2025-10-15 05:31:00,2025-10-15 05:32:00,2025-10-15 05:32:00,1.125845,1.127555,1.125795,1.127625,0
40,4159131,2025-10-15 05:32:00,2025-10-15 05:33:00,2025-10-15 05:33:00,1.127765,1.128625,1.127725,1.128705,0
41,4159132,2025-10-15 05:33:00,2025-10-15 05:34:00,2025-10-15 05:34:00,1.128615,1.128865,1.128175,1.128865,0
42,4159133,2025-10-15 05:34:00,2025-10-15 05:35:00,2025-10-15 05:35:00,1.128815,1.128585,1.128405,1.129045,0
43,4159134,2025-10-15 05:35:00,2025-10-15 05:36:00,2025-10-15 05:36:00,1.128585,1.129225,1.128525,1.129515,0
44,4159135,2025-10-15 05:36:00,2025-10-15 05:37:00,2025-10-15 05:37:00,1.129055,1.129455,1.128595,1.129455,0
